Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,19980309,100,100,100,100,0,0
2644.N,D,19980310,100,100,100,100,0,0
2644.N,D,19980311,99.86,99.86,99.86,99.86,0,0
2644.N,D,19980312,100.45,100.45,100.45,100.45,0,0
2644.N,D,19980313,100.21,100.21,100.21,100.21,0,0
2644.N,D,19980316,100.21,100.21,100.21,100.21,0,0
2644.N,D,19980317,100.29,100.29,100.29,100.29,0,0
2644.N,D,19980318,100.67,100.67,100.67,100.67,0,0
2644.N,D,19980319,100.38,100.38,100.38,100.38,0,0
2644.N,D,19980320,100.23,100.23,100.23,100.23,0,0
2644.N,D,19980323,99.85,99.85,99.85,99.85,0,0
2644.N,D,19980324,99.3,99.3,99.3,99.3,0,0
2644.N,D,19980325,100.27,100.27,100.27,100.27,0,0
2644.N,D,19980326,99.14,99.14,99.14,99.14,0,0
2644.N,D,19980327,99,99,99,99,0,0
2644.N,D,19980330,97.81,97.81,97.81,97.81,0,0
2644.N,D,19980331,98.6,98.6,98.6,98.6,0,0
2644.N,D,19980401,97.57,97.57,97.57,97.57,0,0
2644.N,D,19980402,98.45,98.45,98.45,98.45,0,0
2644.N,D,19980403,98.45,98.45,98.45,98.45,0,0
2644.N,D,19980406,101.02,101.02,101.02,101.02,0,0
2644.N,D,19980407,100.61,100.61,100.61,100.61,0,0
2644.N,D,19980408,99.64,99.64,99.64,99.64,0,0
2644.N,D,19980409,100.7,100.7,100.7,100.7,0,0
2644.N,D,19980410,100.7,100.7,100.7,100.7,0,0
2644.N,D,19980414,101,101,101,101,0,0
2644.N,D,19980415,100.97,100.97,100.97,100.97,0,0
2644.N,D,19980416,100.14,100.14,100.14,100.14,0,0
2644.N,D,19980417,99.4,99.4,99.4,99.4,0,0
2644.N,D,19980420,97.78,97.78,97.78,97.78,0,0
2644.N,D,19980421,98.77,98.77,98.77,98.77,0,0
2644.N,D,19980422,99.39,99.39,99.39,99.39,0,0
2644.N,D,19980423,100.64,100.64,100.64,100.64,0,0
2644.N,D,19980424,102.05,102.05,102.05,102.05,0,0
2644.N,D,19980427,99.74,99.74,99.74,99.74,0,0
2644.N,D,19980428,99.88,99.88,99.88,99.88,0,0
2644.N,D,19980429,100.87,100.87,100.87,100.87,0,0
2644.N,D,19980430,101.42,101.42,101.42,101.42,0,0
2644.N,D,19980504,101.14,101.14,101.14,101.14,0,0
2644.N,D,19980505,100.28,100.28,100.28,100.28,0,0
2644.N,D,19980506,99.45,99.45,99.45,99.45,0,0
2644.N,D,19980507,98.52,98.52,98.52,98.52,0,0
2644.N,D,19980508,98.58,98.58,98.58,98.58,0,0
2644.N,D,19980511,98.05,98.05,98.05,98.05,0,0
2644.N,D,19980512,96.72,96.72,96.72,96.72,0,0
2644.N,D,19980513,95.83,95.83,95.83,95.83,0,0
2644.N,D,19980514,94.79,94.79,94.79,94.79,0,0
2644.N,D,19980515,94.63,94.63,94.63,94.63,0,0
2644.N,D,19980518,92.78,92.78,92.78,92.78,0,0
2644.N,D,19980519,92.38,92.38,92.38,92.38,0,0
2644.N,D,19980520,95.75,95.75,95.75,95.75,0,0
2644.N,D,19980521,95.31,95.31,95.31,95.31,0,0
2644.N,D,19980522,94,94,94,94,0,0
2644.N,D,19980525,91.76,91.76,91.76,91.76,0,0
2644.N,D,19980526,88.31,88.31,88.31,88.31,0,0
2644.N,D,19980527,87,87,87,87,0,0
2644.N,D,19980528,87.3,87.3,87.3,87.3,0,0
2644.N,D,19980529,83.84,83.84,83.84,83.84,0,0
2644.N,D,19980601,81.3,81.3,81.3,81.3,0,0
2644.N,D,19980602,84.08,84.08,84.08,84.08,0,0
2644.N,D,19980603,86.91,86.91,86.91,86.91,0,0
2644.N,D,19980604,89.04,89.04,89.04,89.04,0,0
2644.N,D,19980605,91.64,91.64,91.64,91.64,0,0
2644.N,D,19980608,90.49,90.49,90.49,90.49,0,0
2644.N,D,19980609,87.44,87.44,87.44,87.44,0,0
2644.N,D,19980610,83.61,83.61,83.61,83.61,0,0
2644.N,D,19980612,83.61,83.61,83.61,83.61,0,0
2644.N,D,19980615,83.79,83.79,83.79,83.79,0,0
2644.N,D,19980616,87.06,87.06,87.06,87.06,0,0
2644.N,D,19980617,89.44,89.44,89.44,89.44,0,0
2644.N,D,19980618,87.7,87.7,87.7,87.7,0,0
2644.N,D,19980619,88.76,88.76,88.76,88.76,0,0
2644.N,D,19980622,88.63,88.63,88.63,88.63,0,0
2644.N,D,19980623,87.44,87.44,87.44,87.44,0,0
2644.N,D,19980624,88.23,88.23,88.23,88.23,0,0
2644.N,D,19980625,88.47,88.47,88.47,88.47,0,0
2644.N,D,19980626,88.12,88.12,88.12,88.12,0,0
2644.N,D,19980629,89.65,89.65,89.65,89.65,0,0
2644.N,D,19980630,90.16,90.16,90.16,90.16,0,0
2644.N,D,19980701,91.7,91.7,91.7,91.7,0,0
2644.N,D,19980702,92.44,92.44,92.44,92.44,0,0
2644.N,D,19980703,93.86,93.86,93.86,93.86,0,0
2644.N,D,19980706,95.14,95.14,95.14,95.14,0,0
2644.N,D,19980707,94.7,94.7,94.7,94.7,0,0
2644.N,D,19980708,93.26,93.26,93.26,93.26,0,0
2644.N,D,19980709,92.47,92.47,92.47,92.47,0,0
2644.N,D,19980710,94.29,94.29,94.29,94.29,0,0
2644.N,D,19980713,98.49,98.49,98.49,98.49,0,0
2644.N,D,19980714,98.8,98.8,98.8,98.8,0,0
2644.N,D,19980715,97.91,97.91,97.91,97.91,0,0
2644.N,D,19980716,100.29,100.29,100.29,100.29,0,0
2644.N,D,19980717,99.72,99.72,99.72,99.72,0,0
2644.N,D,19980720,100.7,100.7,100.7,100.7,0,0
2644.N,D,19980721,97.8,97.8,97.8,97.8,0,0
2644.N,D,19980722,96.75,96.75,96.75,96.75,0,0
2644.N,D,19980723,97.22,97.22,97.22,97.22,0,0
2644.N,D,19980724,96.48,96.48,96.48,96.48,0,0
2644.N,D,19980727,95.36,95.36,95.36,95.36,0,0
2644.N,D,19980728,94.25,94.25,94.25,94.25,0,0
2644.N,D,19980729,94.55,94.55,94.55,94.55,0,0
2644.N,D,19980730,95.23,95.23,95.23,95.23,0,0
2644.N,D,19980731,92.77,92.77,92.77,92.77,0,0
2644.N,D,19980803,92.3,92.3,92.3,92.3,0,0
2644.N,D,19980804,90.62,90.62,90.62,90.62,0,0
2644.N,D,19980805,90.63,90.63,90.63,90.63,0,0
2644.N,D,19980806,90.31,90.31,90.31,90.31,0,0
2644.N,D,19980807,90.87,90.87,90.87,90.87,0,0
2644.N,D,19980810,89.09,89.09,89.09,89.09,0,0
2644.N,D,19980811,87.4,87.4,87.4,87.4,0,0
2644.N,D,19980812,84.06,84.06,84.06,84.06,0,0
2644.N,D,19980813,84.21,84.21,84.21,84.21,0,0
2644.N,D,19980814,82.23,82.23,82.23,82.23,0,0
2644.N,D,19980817,85.12,85.12,85.12,85.12,0,0
2644.N,D,19980818,86.96,86.96,86.96,86.96,0,0
2644.N,D,19980819,86.63,86.63,86.63,86.63,0,0
2644.N,D,19980820,83.45,83.45,83.45,83.45,0,0
2644.N,D,19980821,81.64,81.64,81.64,81.64,0,0
2644.N,D,19980824,81.79,81.79,81.79,81.79,0,0
2644.N,D,19980825,79.42,79.42,79.42,79.42,0,0
2644.N,D,19980826,74.61,74.61,74.61,74.61,0,0
2644.N,D,19980827,68.97,68.97,68.97,68.97,0,0
2644.N,D,19980828,68.08,68.08,68.08,68.08,0,0
2644.N,D,19980831,64.4,64.4,64.4,64.4,0,0
2644.N,D,19980901,68.85,68.85,68.85,68.85,0,0
2644.N,D,19980902,69.28,69.28,69.28,69.28,0,0
2644.N,D,19980903,69.23,69.23,69.23,69.23,0,0
2644.N,D,19980904,72.25,72.25,72.25,72.25,0,0
2644.N,D,19980907,73.83,73.83,73.83,73.83,0,0
2644.N,D,19980908,74.25,74.25,74.25,74.25,0,0
2644.N,D,19980909,72.34,72.34,72.34,72.34,0,0
2644.N,D,19980910,69.35,69.35,69.35,69.35,0,0
2644.N,D,19980911,71.4,71.4,71.4,71.4,0,0
2644.N,D,19980914,71.17,71.17,71.17,71.17,0,0
2644.N,D,19980915,70.88,70.88,70.88,70.88,0,0
2644.N,D,19980916,69.37,69.37,69.37,69.37,0,0
2644.N,D,19980917,67.93,67.93,67.93,67.93,0,0
2644.N,D,19980918,67.16,67.16,67.16,67.16,0,0
2644.N,D,19980921,68.43,68.43,68.43,68.43,0,0
2644.N,D,19980922,70.12,70.12,70.12,70.12,0,0
2644.N,D,19980923,73.44,73.44,73.44,73.44,0,0
2644.N,D,19980924,71.07,71.07,71.07,71.07,0,0
2644.N,D,19980925,72.77,72.77,72.77,72.77,0,0
2644.N,D,19980928,72.14,72.14,72.14,72.14,0,0
2644.N,D,19980929,70.4,70.4,70.4,70.4,0,0
2644.N,D,19980930,66.55,66.55,66.55,66.55,0,0
2644.N,D,19981001,64.84,64.84,64.84,64.84,0,0
2644.N,D,19981002,65.25,65.25,65.25,65.25,0,0
2644.N,D,19981005,64.72,64.72,64.72,64.72,0,0
2644.N,D,19981006,66.46,66.46,66.46,66.46,0,0
2644.N,D,19981007,64.73,64.73,64.73,64.73,0,0
2644.N,D,19981008,63.72,63.72,63.72,63.72,0,0
2644.N,D,19981009,66.41,66.41,66.41,66.41,0,0
2644.N,D,19981012,65.52,65.52,65.52,65.52,0,0
2644.N,D,19981013,65.16,65.16,65.16,65.16,0,0
2644.N,D,19981014,65.7,65.7,65.7,65.7,0,0
2644.N,D,19981015,66.8,66.8,66.8,66.8,0,0
2644.N,D,19981016,66.08,66.08,66.08,66.08,0,0
2644.N,D,19981019,66.27,66.27,66.27,66.27,0,0
2644.N,D,19981020,66.87,66.87,66.87,66.87,0,0
2644.N,D,19981021,67.66,67.66,67.66,67.66,0,0
2644.N,D,19981022,69.63,69.63,69.63,69.63,0,0
2644.N,D,19981023,71.56,71.56,71.56,71.56,0,0
2644.N,D,19981026,73.08,73.08,73.08,73.08,0,0
2644.N,D,19981027,71.34,71.34,71.34,71.34,0,0
2644.N,D,19981028,70.93,70.93,70.93,70.93,0,0
2644.N,D,19981029,73.53,73.53,73.53,73.53,0,0
2644.N,D,19981030,76.39,76.39,76.39,76.39,0,0
2644.N,D,19981102,77.13,77.13,77.13,77.13,0,0
2644.N,D,19981103,77.36,77.36,77.36,77.36,0,0
2644.N,D,19981104,77.89,77.89,77.89,77.89,0,0
2644.N,D,19981105,77.73,77.73,77.73,77.73,0,0
2644.N,D,19981106,77.13,77.13,77.13,77.13,0,0
2644.N,D,19981109,74.91,74.91,74.91,74.91,0,0
2644.N,D,19981110,73.31,73.31,73.31,73.31,0,0
2644.N,D,19981112,73.85,73.85,73.85,73.85,0,0
2644.N,D,19981113,77.32,77.32,77.32,77.32,0,0
2644.N,D,19981116,76.27,76.27,76.27,76.27,0,0
2644.N,D,19981117,75.42,75.42,75.42,75.42,0,0
2644.N,D,19981118,74.06,74.06,74.06,74.06,0,0
2644.N,D,19981119,74,74,74,74,0,0
2644.N,D,19981120,74.96,74.96,74.96,74.96,0,0
2644.N,D,19981123,73.91,73.91,73.91,73.91,0,0
2644.N,D,19981124,71.84,71.84,71.84,71.84,0,0
2644.N,D,19981125,71.65,71.65,71.65,71.65,0,0
2644.N,D,19981126,69.82,69.82,69.82,69.82,0,0
2644.N,D,19981127,68.7,68.7,68.7,68.7,0,0
2644.N,D,19981130,67.13,67.13,67.13,67.13,0,0
2644.N,D,19981201,67.16,67.16,67.16,67.16,0,0
2644.N,D,19981202,67.59,67.59,67.59,67.59,0,0
2644.N,D,19981203,68.7,68.7,68.7,68.7,0,0
2644.N,D,19981204,71.22,71.22,71.22,71.22,0,0
2644.N,D,19981207,70.96,70.96,70.96,70.96,0,0
