Symbol,Dzien,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2690.N,D,20091123,100,100,100,100,0,0
2690.N,D,20091124,100,100,100,100,0,0
2690.N,D,20091125,100.3,100.3,100.3,100.3,0,0
2690.N,D,20091126,100.22,100.22,100.22,100.22,0,0
2690.N,D,20091127,99.24,99.24,99.24,99.24,0,0
2690.N,D,20091130,99.27,99.27,99.27,99.27,0,0
2690.N,D,20091201,100.33,100.33,100.33,100.33,0,0
2690.N,D,20091202,100.59,100.59,100.59,100.59,0,0
2690.N,D,20091203,100.24,100.24,100.24,100.24,0,0
2690.N,D,20091204,100.73,100.73,100.73,100.73,0,0
2690.N,D,20091207,100.88,100.88,100.88,100.88,0,0
2690.N,D,20091208,100.09,100.09,100.09,100.09,0,0
2690.N,D,20091209,100.17,100.17,100.17,100.17,0,0
2690.N,D,20091210,100.73,100.73,100.73,100.73,0,0
2690.N,D,20091211,101.06,101.06,101.06,101.06,0,0
2690.N,D,20091214,101.47,101.47,101.47,101.47,0,0
2690.N,D,20091215,101.27,101.27,101.27,101.27,0,0
2690.N,D,20091216,101.38,101.38,101.38,101.38,0,0
2690.N,D,20091217,100.44,100.44,100.44,100.44,0,0
2690.N,D,20091218,100.72,100.72,100.72,100.72,0,0
2690.N,D,20091221,101.5,101.5,101.5,101.5,0,0
2690.N,D,20091222,102.06,102.06,102.06,102.06,0,0
2690.N,D,20091223,102.05,102.05,102.05,102.05,0,0
2690.N,D,20091228,103,103,103,103,0,0
2690.N,D,20091229,102.98,102.98,102.98,102.98,0,0
2690.N,D,20091230,103.08,103.08,103.08,103.08,0,0
2690.N,D,20091231,102.23,102.23,102.23,102.23,0,0
2690.N,D,20100104,103.23,103.23,103.23,103.23,0,0
2690.N,D,20100105,103.12,103.12,103.12,103.12,0,0
2690.N,D,20100106,103.47,103.47,103.47,103.47,0,0
2690.N,D,20100107,103.52,103.52,103.52,103.52,0,0
2690.N,D,20100108,103.77,103.77,103.77,103.77,0,0
2690.N,D,20100111,103.94,103.94,103.94,103.94,0,0
2690.N,D,20100112,103.51,103.51,103.51,103.51,0,0
2690.N,D,20100113,104.03,104.03,104.03,104.03,0,0
2690.N,D,20100114,104.19,104.19,104.19,104.19,0,0
2690.N,D,20100115,103.52,103.52,103.52,103.52,0,0
2690.N,D,20100118,103.53,103.53,103.53,103.53,0,0
2690.N,D,20100119,103.52,103.52,103.52,103.52,0,0
2690.N,D,20100120,103.68,103.68,103.68,103.68,0,0
2690.N,D,20100121,102.67,102.67,102.67,102.67,0,0
2690.N,D,20100122,101.5,101.5,101.5,101.5,0,0
2690.N,D,20100125,101.66,101.66,101.66,101.66,0,0
2690.N,D,20100126,101.41,101.41,101.41,101.41,0,0
2690.N,D,20100127,101.47,101.47,101.47,101.47,0,0
2690.N,D,20100128,100.7,100.7,100.7,100.7,0,0
2690.N,D,20100129,99.95,99.95,99.95,99.95,0,0
2690.N,D,20100201,101.01,101.01,101.01,101.01,0,0
