Symbol,data,dzien,otwarcie,max,min,kurs,nie,nie
1033.N,D,20160309,1079.48,1079.48,1079.48,1079.48,0,0
1047.N,D,20160310,74.56,74.56,74.56,74.56,0,0
1049.N,D,20160310,98.18,98.18,98.18,98.18,0,0
1051.N,D,20160310,131.11,131.11,131.11,131.11,0,0
1055.N,D,20160310,116.5,116.5,116.5,116.5,0,0
1308.N,D,20160310,84.96,84.96,84.96,84.96,0,0
1353.N,D,20160310,140.62,140.62,140.62,140.62,0,0
1354.N,D,20160229,124.75,124.75,124.75,124.75,0,0
1356.N,D,20160229,125.33,125.33,125.33,125.33,0,0
1357.N,D,20160229,103.66,103.66,103.66,103.66,0,0
1370.N,D,20160310,111.26,111.26,111.26,111.26,0,0
1372.N,D,20160310,102.2,102.2,102.2,102.2,0,0
1373.N,D,20160310,86.77,86.77,86.77,86.77,0,0
1378.N,D,20160310,29.66,29.66,29.66,29.66,0,0
1396.N,D,20160310,1157.53,1157.53,1157.53,1157.53,0,0
1417.N,D,20160310,152.48,152.48,152.48,152.48,0,0
1418.N,D,20160310,136.26,136.26,136.26,136.26,0,0
1419.N,D,20160310,152.63,152.63,152.63,152.63,0,0
1425.N,D,20160310,404.26,404.26,404.26,404.26,0,0
1439.N,D,20160310,97.49,97.49,97.49,97.49,0,0
1440.N,D,20160310,101.79,101.79,101.79,101.79,0,0
1441.N,D,20160310,101.76,101.76,101.76,101.76,0,0
1767.N,D,20160310,123.07,123.07,123.07,123.07,0,0
1908.N,D,20160310,271.18,271.18,271.18,271.18,0,0
1909.N,D,20160310,48.56,48.56,48.56,48.56,0,0
1910.N,D,20160310,12.35,12.35,12.35,12.35,0,0
1934.N,D,20160311,91.97,91.97,91.97,91.97,0,0
1942.N,D,20160310,120.36,120.36,120.36,120.36,0,0
1981.N,D,20160310,111.77,111.77,111.77,111.77,0,0
1984.N,D,20160310,158.9,158.9,158.9,158.9,0,0
1986.N,D,20160310,97.47,97.47,97.47,97.47,0,0
1990.N,D,20160310,12.21,12.21,12.21,12.21,0,0
1993.N,D,20160310,13.76,13.76,13.76,13.76,0,0
2644.N,D,20160310,268.29,268.29,268.29,268.29,0,0
2645.N,D,20160310,324.51,324.51,324.51,324.51,0,0
2686.N,D,20160310,69.8,69.8,69.8,69.8,0,0
2691.N,D,20160310,171.56,171.56,171.56,171.56,0,0
2701.N,D,20160310,203.28,203.28,203.28,203.28,0,0
2702.N,D,20160310,328.31,328.31,328.31,328.31,0,0
2718.N,D,20160310,72.56,72.56,72.56,72.56,0,0
2720.N,D,20160310,222.07,222.07,222.07,222.07,0,0
2728.N,D,20160310,119.27,119.27,119.27,119.27,0,0
2733.N,D,20160310,95.25,95.25,95.25,95.25,0,0
2734.N,D,20160310,138.09,138.09,138.09,138.09,0,0
2736.N,D,20160310,139.88,139.88,139.88,139.88,0,0
2740.N,D,20160310,117.2,117.2,117.2,117.2,0,0
2797.N,D,20160310,76.37,76.37,76.37,76.37,0,0
2798.N,D,20160310,78.16,78.16,78.16,78.16,0,0
2802.N,D,20160310,164.41,164.41,164.41,164.41,0,0
2834.N,D,20160310,79.71,79.71,79.71,79.71,0,0
2835.N,D,20160310,70.49,70.49,70.49,70.49,0,0
2840.N,D,20160310,328.4,328.4,328.4,328.4,0,0
2841.N,D,20160309,1030.23,1030.23,1030.23,1030.23,0,0
2842.N,D,20160224,1150.1,1150.1,1150.1,1150.1,0,0
2894.N,D,20160310,13.76,13.76,13.76,13.76,0,0
2906.N,D,20160310,7.21,7.21,7.21,7.21,0,0
2908.N,D,20160310,5.41,5.41,5.41,5.41,0,0
2913.N,D,20160310,7.63,7.63,7.63,7.63,0,0
2956.N,D,20160310,186.42,186.42,186.42,186.42,0,0
2959.N,D,20160310,85.16,85.16,85.16,85.16,0,0
2980.N,D,20160304,986.35,986.35,986.35,986.35,0,0
2986.N,D,20160310,112.77,112.77,112.77,112.77,0,0
2987.N,D,20160310,86.85,86.85,86.85,86.85,0,0
3077.N,D,20160311,153.97,153.97,153.97,153.97,0,0
3086.N,D,20160310,96.66,96.66,96.66,96.66,0,0
3087.N,D,20160310,127.46,127.46,127.46,127.46,0,0
3255.N,D,20160229,98.18,98.18,98.18,98.18,0,0
3258.N,D,20160310,7.71,7.71,7.71,7.71,0,0
3261.N,D,20160310,8.84,8.84,8.84,8.84,0,0
3262.N,D,20160310,19.05,19.05,19.05,19.05,0,0
3263.N,D,20160310,16.71,16.71,16.71,16.71,0,0
3280.N,D,20160310,8.59,8.59,8.59,8.59,0,0
3310.N,D,20160310,100.9,100.9,100.9,100.9,0,0
3311.N,D,20160310,207.6,207.6,207.6,207.6,0,0
3315.N,D,20160310,75.87,75.87,75.87,75.87,0,0
3403.N,D,20160310,86.48,86.48,86.48,86.48,0,0
3404.N,D,20160310,46.02,46.02,46.02,46.02,0,0
3448.N,D,20160310,161.62,161.62,161.62,161.62,0,0
3450.N,D,20160310,53.93,53.93,53.93,53.93,0,0
3454.N,D,20160310,94.47,94.47,94.47,94.47,0,0
3495.N,D,20160304,106.11,106.11,106.11,106.11,0,0
3889.N,D,20160310,242.47,242.47,242.47,242.47,0,0
3896.N,D,20160310,67.37,67.37,67.37,67.37,0,0
3910.N,D,20160310,129.69,129.69,129.69,129.69,0,0
3916.N,D,20160310,86.05,86.05,86.05,86.05,0,0
3919.N,D,20160310,95,95,95,95,0,0
3929.N,D,20160310,820.76,820.76,820.76,820.76,0,0
3930.N,D,20160310,190.29,190.29,190.29,190.29,0,0
3931.N,D,20160310,208.74,208.74,208.74,208.74,0,0
