Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-12-06,100,100,100,100
2000-12-07,100.05,100.05,100.05,100.05
2000-12-08,100.13,100.13,100.13,100.13
2000-12-11,100.41,100.41,100.41,100.41
2000-12-12,100.9,100.9,100.9,100.9
2000-12-13,101.03,101.03,101.03,101.03
2000-12-14,101.22,101.22,101.22,101.22
2000-12-15,101.4,101.4,101.4,101.4
2000-12-18,101.62,101.62,101.62,101.62
2000-12-19,102.32,102.32,102.32,102.32
2000-12-20,102.13,102.13,102.13,102.13
2000-12-21,102.06,102.06,102.06,102.06
2000-12-22,102.63,102.63,102.63,102.63
2000-12-27,102.7,102.7,102.7,102.7
2000-12-28,102.68,102.68,102.68,102.68
2000-12-29,102.89,102.89,102.89,102.89
2001-01-02,103.53,103.53,103.53,103.53
2001-01-03,103.58,103.58,103.58,103.58
2001-01-04,104.12,104.12,104.12,104.12
2001-01-05,104.07,104.07,104.07,104.07
2001-01-08,103.88,103.88,103.88,103.88
2001-01-09,103.93,103.93,103.93,103.93
2001-01-10,103.5,103.5,103.5,103.5
2001-01-11,103.48,103.48,103.48,103.48
2001-01-12,103.64,103.64,103.64,103.64
2001-01-15,103.67,103.67,103.67,103.67
2001-01-16,103.66,103.66,103.66,103.66
2001-01-17,104.02,104.02,104.02,104.02
2001-01-18,104.16,104.16,104.16,104.16
2001-01-19,104.02,104.02,104.02,104.02
2001-01-22,103.55,103.55,103.55,103.55
2001-01-23,103.66,103.66,103.66,103.66
2001-01-24,103.42,103.42,103.42,103.42
2001-01-25,103.37,103.37,103.37,103.37
2001-01-26,103.57,103.57,103.57,103.57
2001-01-29,103.97,103.97,103.97,103.97
2001-01-30,103.89,103.89,103.89,103.89
2001-01-31,104.59,104.59,104.59,104.59
2001-02-01,104.82,104.82,104.82,104.82
2001-02-02,104.95,104.95,104.95,104.95
2001-02-05,104.2,104.2,104.2,104.2
2001-02-06,104.44,104.44,104.44,104.44
2001-02-07,103.29,103.29,103.29,103.29
2001-02-08,103.58,103.58,103.58,103.58
2001-02-09,103.86,103.86,103.86,103.86
2001-02-12,103.93,103.93,103.93,103.93
2001-02-13,104.3,104.3,104.3,104.3
2001-02-14,103.94,103.94,103.94,103.94
2001-02-15,104.51,104.51,104.51,104.51
2001-02-16,103.64,103.64,103.64,103.64
2001-02-19,103.7,103.7,103.7,103.7
2001-02-20,103.1,103.1,103.1,103.1
2001-02-21,102.71,102.71,102.71,102.71
2001-02-22,102.18,102.18,102.18,102.18
2001-02-23,102.46,102.46,102.46,102.46
2001-02-26,102.88,102.88,102.88,102.88
2001-02-27,102.44,102.44,102.44,102.44
2001-02-28,102.3,102.3,102.3,102.3
